"state","acq_date","cumu_sum","rank","next_val"
"Victoria",2019-09-26,24,6,29
"Northern Territory",2019-09-27,5295,1,5394
"Queensland",2019-09-27,3264,2,3339
"New South Wales",2019-09-27,2165,3,2186
"Western Australia",2019-09-27,1022,4,1055
"Northern Territory",2019-09-28,5394,1,5478
"Queensland",2019-09-28,3339,2,3400
"New South Wales",2019-09-28,2186,3,2194
"Western Australia",2019-09-28,1055,4,1100
"Northern Territory",2019-09-29,5478,1,5594
"Queensland",2019-09-29,3400,2,3531
"New South Wales",2019-09-29,2194,3,2195
"Western Australia",2019-09-29,1100,4,1166
"Northern Territory",2019-09-30,5594,1,5846
"Queensland",2019-09-30,3531,2,3598
"New South Wales",2019-09-30,2195,3,2197
"Western Australia",2019-09-30,1166,4,1285
"South Australia",2019-09-30,60,5,68
"Northern Territory",2019-10-01,5846,1,5946
"Queensland",2019-10-01,3598,2,3640
"New South Wales",2019-10-01,2197,3,2199
"Western Australia",2019-10-01,1285,4,1301
"South Australia",2019-10-01,68,5,69
"Victoria",2019-10-01,29,6,31
"Northern Territory",2019-10-02,5946,1,6102
"Queensland",2019-10-02,3640,2,3704
"New South Wales",2019-10-02,2199,3,2202
"Western Australia",2019-10-02,1301,4,1458
"Victoria",2019-10-02,31,5,36
"Northern Territory",2019-10-03,6102,1,6197
"Queensland",2019-10-03,3704,2,3802
"New South Wales",2019-10-03,2202,3,2213
"Western Australia",2019-10-03,1458,4,1594
"South Australia",2019-10-03,69,5,221
"Victoria",2019-10-03,36,6,37
"Northern Territory",2019-10-04,6197,1,6431
"Queensland",2019-10-04,3802,2,3862
"New South Wales",2019-10-04,2213,3,2224
"Western Australia",2019-10-04,1594,4,1740
"South Australia",2019-10-04,221,5,427
"Northern Territory",2019-10-05,6431,1,6508
"Queensland",2019-10-05,3862,2,3989
"Western Australia",2019-10-05,1740,3,1773
"South Australia",2019-10-05,427,4,447
"Victoria",2019-10-05,37,5,39
"Tasmania",2019-10-05,33,6,34
"Northern Territory",2019-10-06,6508,1,6611
"Queensland",2019-10-06,3989,2,4086
"New South Wales",2019-10-06,2224,3,2286
"Western Australia",2019-10-06,1773,4,1782
"South Australia",2019-10-06,447,5,449
"Northern Territory",2019-10-07,6611,1,6695
"Queensland",2019-10-07,4086,2,4276
"New South Wales",2019-10-07,2286,3,2630
"Western Australia",2019-10-07,1782,4,1828
"South Australia",2019-10-07,449,5,463
"Northern Territory",2019-10-08,6695,1,6793
"Queensland",2019-10-08,4276,2,4427
"New South Wales",2019-10-08,2630,3,2698
"Western Australia",2019-10-08,1828,4,1868
"South Australia",2019-10-08,463,5,472
"Northern Territory",2019-10-09,6793,1,6974
"Queensland",2019-10-09,4427,2,4478
"New South Wales",2019-10-09,2698,3,2701
"Western Australia",2019-10-09,1868,4,1979
"South Australia",2019-10-09,472,5,473
"Northern Territory",2019-10-10,6974,1,7063
"Queensland",2019-10-10,4478,2,4568
"New South Wales",2019-10-10,2701,3,2702
"Western Australia",2019-10-10,1979,4,2135
"South Australia",2019-10-10,473,5,483
"Victoria",2019-10-10,39,6,40
"Northern Territory",2019-10-11,7063,1,7340
"Queensland",2019-10-11,4568,2,4628
"New South Wales",2019-10-11,2702,3,2705
"Western Australia",2019-10-11,2135,4,2227
"South Australia",2019-10-11,483,5,485
"Northern Territory",2019-10-12,7340,1,7428
"Queensland",2019-10-12,4628,2,4726
"New South Wales",2019-10-12,2705,3,2706
"Western Australia",2019-10-12,2227,4,2366
"Victoria",2019-10-12,40,5,41
"Tasmania",2019-10-12,34,6,35
"Northern Territory",2019-10-13,7428,1,7767
"Queensland",2019-10-13,4726,2,4779
"Western Australia",2019-10-13,2366,3,2468
"Northern Territory",2019-10-14,7767,1,7902
"Queensland",2019-10-14,4779,2,4886
"New South Wales",2019-10-14,2706,3,2715
"Western Australia",2019-10-14,2468,4,2525
"Victoria",2019-10-14,41,5,49
"Northern Territory",2019-10-15,7902,1,8126
"Queensland",2019-10-15,4886,2,4977
"New South Wales",2019-10-15,2715,3,2716
"Western Australia",2019-10-15,2525,4,2557
"Northern Territory",2019-10-16,8126,1,8439
"Queensland",2019-10-16,4977,2,5013
"New South Wales",2019-10-16,2716,3,2742
"Western Australia",2019-10-16,2557,4,2611
"Northern Territory",2019-10-17,8439,1,8677
"Queensland",2019-10-17,5013,2,5129
"New South Wales",2019-10-17,2742,3,2785
"Western Australia",2019-10-17,2611,4,2659
"Northern Territory",2019-10-18,8677,1,9119
"Queensland",2019-10-18,5129,2,5183
"New South Wales",2019-10-18,2785,3,2921
"Western Australia",2019-10-18,2659,4,2735
"South Australia",2019-10-18,485,5,488
"Northern Territory",2019-10-19,9119,1,9379
"Queensland",2019-10-19,5183,2,5319
"New South Wales",2019-10-19,2921,3,3002
"Western Australia",2019-10-19,2735,4,2826
"Northern Territory",2019-10-20,9379,1,10205
"Queensland",2019-10-20,5319,2,5371
"New South Wales",2019-10-20,3002,3,3053
"Western Australia",2019-10-20,2826,4,3023
"South Australia",2019-10-20,488,5,494
"Northern Territory",2019-10-21,10205,1,10506
"Queensland",2019-10-21,5371,2,5432
"New South Wales",2019-10-21,3053,3,3135
"Western Australia",2019-10-21,3023,4,3170
"Victoria",2019-10-21,49,5,53
"Tasmania",2019-10-21,35,6,39
"Northern Territory",2019-10-22,10506,1,10746
"Queensland",2019-10-22,5432,2,5490
"Western Australia",2019-10-22,3170,3,3406
"New South Wales",2019-10-22,3135,4,3174
"South Australia",2019-10-22,494,5,576
"Northern Territory",2019-10-23,10746,1,10819
"Queensland",2019-10-23,5490,2,5518
"Western Australia",2019-10-23,3406,3,3606
"New South Wales",2019-10-23,3174,4,3210
"Victoria",2019-10-23,53,5,54
"Tasmania",2019-10-23,39,6,40
"Northern Territory",2019-10-24,10819,1,10890
"Queensland",2019-10-24,5518,2,5537
"Western Australia",2019-10-24,3606,3,3782
"New South Wales",2019-10-24,3210,4,3241
"South Australia",2019-10-24,576,5,654
"Northern Territory",2019-10-25,10890,1,10948
"Queensland",2019-10-25,5537,2,5543
"Western Australia",2019-10-25,3782,3,3927
"New South Wales",2019-10-25,3241,4,3392
"South Australia",2019-10-25,654,5,672
"Northern Territory",2019-10-26,10948,1,10956
"Queensland",2019-10-26,5543,2,5573
"Western Australia",2019-10-26,3927,3,4105
"New South Wales",2019-10-26,3392,4,3517
"South Australia",2019-10-26,672,5,707
"Northern Territory",2019-10-27,10956,1,10966
"Queensland",2019-10-27,5573,2,5604
"Western Australia",2019-10-27,4105,3,4301
"New South Wales",2019-10-27,3517,4,3577
"South Australia",2019-10-27,707,5,752
"Victoria",2019-10-27,54,6,55
"Northern Territory",2019-10-28,10966,1,10998
"Queensland",2019-10-28,5604,2,5612
"Western Australia",2019-10-28,4301,3,4426
"New South Wales",2019-10-28,3577,4,3652
"South Australia",2019-10-28,752,5,785
"Tasmania",2019-10-28,40,6,43
"Northern Territory",2019-10-29,10998,1,11063
"Queensland",2019-10-29,5612,2,5621
"Western Australia",2019-10-29,4426,3,4695
"New South Wales",2019-10-29,3652,4,3667
"South Australia",2019-10-29,785,5,824
"Victoria",2019-10-29,55,6,84
"Tasmania",2019-10-29,43,7,49
"Northern Territory",2019-10-30,11063,1,11081
"Western Australia",2019-10-30,4695,2,4936
"New South Wales",2019-10-30,3667,3,3728
"South Australia",2019-10-30,824,4,847
"Northern Territory",2019-10-31,11081,1,11114
"Queensland",2019-10-31,5621,2,5637
"Western Australia",2019-10-31,4936,3,4982
"New South Wales",2019-10-31,3728,4,3801
"South Australia",2019-10-31,847,5,853
"Tasmania",2019-10-31,49,6,59
"Northern Territory",2019-11-01,11114,1,11171
"Queensland",2019-11-01,5637,2,5644
"Western Australia",2019-11-01,4982,3,5088
